Voltage (V)	Current (A)	Power (W)
0.009	0.07	0.001
0.221	0.069	0.015
0.238	0.069	0.016
0.279	0.069	0.019
0.332	0.069	0.023
0.381	0.069	0.026
0.423	0.069	0.029
0.456	0.068	0.031
0.483	0.067	0.032
0.505	0.066	0.033
0.521	0.065	0.034
0.533	0.064	0.034
0.541	0.062	0.034
0.549	0.061	0.033
0.555	0.06	0.033
0.559	0.059	0.033
0.562	0.058	0.033
0.565	0.058	0.032
0.567	0.057	0.032
0.57	0.056	0.032
0.571	0.056	0.032
0.577	0.054	0.031
0.582	0.052	0.03
0.588	0.049	0.029
0.594	0.046	0.027
0.602	0.042	0.025
0.608	0.038	0.023
0.614	0.033	0.02
0.62	0.028	0.017
0.625	0.023	0.014
0.63	0.018	0.012
0.633	0.014	0.009
0.636	0.011	0.007
0.638	0.008	0.005
0.639	0.006	0.004
0.641	0.004	0.003
0.642	0.003	0.002
0.642	0.002	0.001
0.643	0.001	0.001
0.643	0.0	0.0
0.643	0.0	0.0
